epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,2586.94,0.55714,0.43004,0.98496,0.77869,0.41929,0.47252,0.3944,1.26206,1.81457,1.6537,0.008581,0.008581,0.008581
45,2645.14,0.56104,0.42943,0.98548,0.90621,0.86672,0.93974,0.86143,0.42118,0.47629,0.83233,0.008548,0.008548,0.008548
46,2703.62,0.55713,0.43109,0.98465,0.98542,0.97636,0.98757,0.94611,0.31192,0.20383,0.76832,0.008515,0.008515,0.008515
47,2761.04,0.55947,0.43994,0.98839,0.98486,0.97732,0.9878,0.95278,0.3011,0.19647,0.76565,0.008482,0.008482,0.008482
48,2818.33,0.55433,0.42843,0.98435,0.90873,0.84506,0.92947,0.85324,0.41217,0.6425,0.82233,0.008449,0.008449,0.008449
49,2875.8,0.5586,0.43359,0.98635,0.96734,0.94958,0.98677,0.94597,0.31111,0.25107,0.76927,0.008416,0.008416,0.008416
50,2932.42,0.56663,0.43477,0.98993,0.89254,0.79748,0.89095,0.80306,0.46608,0.73817,0.88341,0.008383,0.008383,0.008383
51,2989.23,0.5587,0.43103,0.98466,0.95358,0.94947,0.98002,0.89869,0.40189,0.3026,0.82729,0.00835,0.00835,0.00835
52,3046.42,0.55654,0.43123,0.98622,0.93018,0.89019,0.95802,0.88947,0.38,0.39504,0.8121,0.008317,0.008317,0.008317
53,3103.03,0.55258,0.42128,0.98291,0.97863,0.97274,0.98624,0.95157,0.30377,0.20813,0.7659,0.008284,0.008284,0.008284
54,3159.77,0.55216,0.42452,0.98581,0.98681,0.97588,0.98717,0.95044,0.31228,0.20352,0.77131,0.008251,0.008251,0.008251
55,3215.95,0.5566,0.42949,0.98612,0.98463,0.97548,0.98718,0.95107,0.30481,0.20083,0.7645,0.008218,0.008218,0.008218
56,3271.85,0.55142,0.42437,0.98316,0.93955,0.86701,0.96976,0.91608,0.34779,0.44176,0.7891,0.008185,0.008185,0.008185
57,3329.32,0.55289,0.42498,0.98437,0.89393,0.77798,0.86409,0.76523,0.53059,0.70856,0.92887,0.008152,0.008152,0.008152
58,3386.72,0.55086,0.42779,0.98206,0.98365,0.97725,0.98772,0.94605,0.31667,0.20487,0.77104,0.008119,0.008119,0.008119
