epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,16083.6,0.63099,0.48777,1.10096,0.99316,0.98938,0.99015,0.97722,0.21964,0.1196,0.75895,0.007921,0.007921,0.007921
44,16418.8,0.62097,0.47553,1.0933,0.9932,0.98934,0.99018,0.97716,0.21929,0.11922,0.75884,0.0078715,0.0078715,0.0078715
45,16773.3,0.62269,0.4817,1.09935,0.99333,0.98919,0.99019,0.97723,0.219,0.11923,0.75867,0.007822,0.007822,0.007822
46,17128.2,0.62282,0.48293,1.09595,0.99334,0.98929,0.99017,0.97737,0.21897,0.11892,0.75853,0.0077725,0.0077725,0.0077725
47,17487.6,0.62024,0.47694,1.09485,0.99316,0.98951,0.9902,0.97742,0.21902,0.11861,0.75845,0.007723,0.007723,0.007723
48,17837.8,0.61534,0.47898,1.09351,0.9932,0.98951,0.99022,0.97719,0.21905,0.11882,0.75838,0.0076735,0.0076735,0.0076735
49,18167.5,0.62025,0.4804,1.09558,0.99303,0.98963,0.99023,0.97737,0.21901,0.11873,0.75824,0.007624,0.007624,0.007624
50,18522.6,0.61764,0.47584,1.09316,0.99289,0.9898,0.99025,0.97742,0.21876,0.11844,0.75807,0.0075745,0.0075745,0.0075745
51,18871.3,0.62058,0.47451,1.09385,0.99311,0.98968,0.99023,0.97749,0.21844,0.11821,0.75792,0.007525,0.007525,0.007525
52,19214.3,0.61172,0.4685,1.08897,0.99325,0.98943,0.99025,0.97758,0.21833,0.1181,0.75777,0.0074755,0.0074755,0.0074755
53,19585.2,0.61384,0.4654,1.08847,0.99334,0.98941,0.99024,0.97766,0.2183,0.11806,0.75767,0.007426,0.007426,0.007426
54,19971.4,0.61532,0.47154,1.08838,0.99344,0.98945,0.99027,0.97767,0.21847,0.1179,0.75761,0.0073765,0.0073765,0.0073765
55,20297.6,0.61384,0.46797,1.0905,0.99337,0.9896,0.99027,0.9777,0.21842,0.11776,0.75748,0.007327,0.007327,0.007327
56,20652.7,0.61251,0.4701,1.08501,0.99329,0.98963,0.99028,0.97772,0.2184,0.1176,0.75733,0.0072775,0.0072775,0.0072775
57,21001.6,0.61447,0.46757,1.08473,0.9931,0.98966,0.99034,0.97786,0.21849,0.11752,0.75728,0.007228,0.007228,0.007228
58,21347.9,0.60081,0.46568,1.08385,0.99324,0.98952,0.99033,0.97793,0.21859,0.11755,0.75724,0.0071785,0.0071785,0.0071785
59,21687.7,0.60986,0.46767,1.08806,0.99324,0.98952,0.99029,0.97777,0.21871,0.11732,0.75725,0.007129,0.007129,0.007129
60,22015.6,0.6054,0.46266,1.08485,0.99345,0.98952,0.99028,0.97783,0.21879,0.11762,0.75719,0.0070795,0.0070795,0.0070795
61,22371.3,0.60325,0.46329,1.08347,0.99347,0.98957,0.99027,0.97798,0.2189,0.11747,0.75718,0.00703,0.00703,0.00703
62,22708,0.60876,0.47234,1.08555,0.9935,0.98955,0.99027,0.97811,0.21906,0.11724,0.75708,0.0069805,0.0069805,0.0069805
63,23038.9,0.60388,0.4603,1.0823,0.99357,0.9896,0.99029,0.97811,0.21915,0.11732,0.75708,0.006931,0.006931,0.006931
64,23384.2,0.59657,0.45851,1.07581,0.99354,0.98958,0.99029,0.97805,0.21916,0.11711,0.75702,0.0068815,0.0068815,0.0068815
65,23708.7,0.59619,0.45246,1.07993,0.99359,0.98952,0.99034,0.97815,0.21915,0.11706,0.75687,0.006832,0.006832,0.006832
