epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3340.6,0.52096,0.39278,0.98329,0.98845,0.98635,0.98866,0.96575,0.26548,0.15622,0.74052,0.008614,0.008614,0.008614
44,3417.28,0.51918,0.39063,0.98511,0.98791,0.98661,0.98873,0.96508,0.26407,0.15838,0.73953,0.008581,0.008581,0.008581
45,3494.24,0.51803,0.38802,0.98361,0.99211,0.98646,0.98895,0.96654,0.25995,0.1548,0.7381,0.008548,0.008548,0.008548
46,3571.49,0.5235,0.39392,0.98543,0.98849,0.98443,0.98877,0.96393,0.27092,0.15955,0.7432,0.008515,0.008515,0.008515
47,3649.75,0.51993,0.38811,0.98438,0.9803,0.97245,0.98427,0.95933,0.26934,0.18281,0.74231,0.008482,0.008482,0.008482
48,3728.54,0.5157,0.3846,0.98334,0.98908,0.98733,0.98891,0.96459,0.26474,0.15567,0.74089,0.008449,0.008449,0.008449
49,3805.95,0.52368,0.38953,0.98945,0.98986,0.97895,0.98741,0.95782,0.28213,0.16667,0.74736,0.008416,0.008416,0.008416
50,3884.72,0.51759,0.38565,0.98683,0.98944,0.98652,0.989,0.96773,0.25994,0.14717,0.73952,0.008383,0.008383,0.008383
51,3962.91,0.51665,0.38545,0.9826,0.99205,0.98707,0.98953,0.96888,0.25756,0.14998,0.73746,0.00835,0.00835,0.00835
52,4040.25,0.52211,0.38653,0.98817,0.99025,0.9867,0.98934,0.96693,0.25949,0.151,0.73756,0.008317,0.008317,0.008317
53,4118.96,0.51591,0.38635,0.98386,0.9809,0.97689,0.9877,0.96571,0.26206,0.17619,0.73955,0.008284,0.008284,0.008284
54,4196.63,0.51716,0.38725,0.98371,0.99093,0.98605,0.98929,0.96793,0.25802,0.14471,0.73742,0.008251,0.008251,0.008251
55,4273.52,0.5188,0.38562,0.98448,0.99165,0.9882,0.9895,0.96925,0.25373,0.14101,0.73606,0.008218,0.008218,0.008218
56,4350.01,0.51084,0.37562,0.98027,0.99063,0.98826,0.98932,0.96859,0.25731,0.14342,0.73673,0.008185,0.008185,0.008185
57,4426.69,0.51938,0.38709,0.9845,0.9926,0.98571,0.98945,0.96825,0.25991,0.14552,0.73803,0.008152,0.008152,0.008152
58,4503.35,0.51428,0.3807,0.98393,0.99273,0.98711,0.98949,0.96992,0.2528,0.14275,0.73547,0.008119,0.008119,0.008119
59,4580.87,0.51241,0.38024,0.98048,0.99179,0.98778,0.98968,0.97043,0.25116,0.13779,0.73452,0.008086,0.008086,0.008086
