epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.688,0.83805,3.55501,1.18591,0.9747,0.30721,0.85215,0.76931,0.41261,2.29751,0.80619,0.000233966,0.000233966,0.000233966
2,179.626,0.60595,1.42168,1.03043,0.96123,0.93094,0.97114,0.90395,0.3739,0.93448,0.80453,0.000456391,0.000456391,0.000456391
3,240.919,0.57846,1.02568,1.00911,0.93575,0.92564,0.97657,0.898,0.38385,0.6024,0.81234,0.000663108,0.000663108,0.000663108
4,298.996,0.56891,0.78734,1.00034,0.96443,0.95301,0.98432,0.91551,0.36264,0.35332,0.79984,0.000643314,0.000643314,0.000643314
5,356.335,0.54707,0.63805,0.99501,0.90025,0.87425,0.96605,0.89763,0.36049,0.5204,0.80637,0.000619752,0.000619752,0.000619752
6,417.678,0.5328,0.54988,0.98465,0.98751,0.96679,0.98618,0.93485,0.3256,0.268,0.78007,0.00059619,0.00059619,0.00059619
7,477.512,0.53223,0.50516,0.98492,0.98121,0.96476,0.98589,0.93821,0.31805,0.25304,0.78025,0.000572628,0.000572628,0.000572628
8,536.77,0.51646,0.46054,0.98164,0.98935,0.97953,0.98769,0.94665,0.30619,0.21825,0.77401,0.000549066,0.000549066,0.000549066
9,594.607,0.51574,0.45205,0.98185,0.98273,0.97662,0.98766,0.94798,0.30225,0.22393,0.77162,0.000525504,0.000525504,0.000525504
10,652.53,0.51191,0.43104,0.97757,0.99166,0.98457,0.98869,0.95262,0.29534,0.2026,0.76964,0.000501942,0.000501942,0.000501942
11,710.808,0.50164,0.41547,0.97399,0.98303,0.97449,0.98744,0.95069,0.29573,0.21846,0.76881,0.00047838,0.00047838,0.00047838
12,768.639,0.49939,0.40588,0.97689,0.98692,0.98259,0.98827,0.95355,0.29208,0.19852,0.76703,0.000454818,0.000454818,0.000454818
13,825.934,0.49462,0.39857,0.97202,0.98951,0.98518,0.98894,0.95546,0.28453,0.18374,0.76583,0.000431256,0.000431256,0.000431256
14,884.656,0.48915,0.38417,0.97397,0.98948,0.98562,0.98869,0.95606,0.28254,0.18136,0.76301,0.000407694,0.000407694,0.000407694
15,944.317,0.48412,0.38727,0.96789,0.98971,0.98322,0.98841,0.95499,0.28754,0.18861,0.76554,0.000384132,0.000384132,0.000384132
16,1002.66,0.47668,0.37448,0.96208,0.99142,0.98498,0.98901,0.95837,0.28083,0.17461,0.76401,0.00036057,0.00036057,0.00036057
17,1061.34,0.47587,0.37214,0.96382,0.98898,0.98451,0.98932,0.96152,0.27494,0.17488,0.75979,0.000337008,0.000337008,0.000337008
18,1120.2,0.47827,0.37273,0.96478,0.99298,0.98484,0.98919,0.95876,0.28018,0.17265,0.7624,0.000313446,0.000313446,0.000313446
19,1177.9,0.46945,0.35775,0.9615,0.99028,0.98594,0.98924,0.96275,0.26917,0.16643,0.75789,0.000289884,0.000289884,0.000289884
20,1236.39,0.46352,0.35594,0.95837,0.99241,0.98657,0.98929,0.96208,0.27071,0.16411,0.75793,0.000266322,0.000266322,0.000266322
21,1300.9,0.28617,0.18163,0.82096,0.99209,0.98587,0.98931,0.96381,0.26955,0.16428,0.75645,0.00024276,0.00024276,0.00024276
22,1360.63,0.27924,0.17128,0.81691,0.99204,0.98619,0.98939,0.96448,0.26577,0.16156,0.75404,0.000219198,0.000219198,0.000219198
23,1418.64,0.27799,0.1655,0.81813,0.9928,0.9856,0.98941,0.96592,0.26248,0.15738,0.75402,0.000195636,0.000195636,0.000195636
24,1476.67,0.27245,0.16088,0.81203,0.99131,0.98644,0.98931,0.9656,0.26138,0.15349,0.75403,0.000172074,0.000172074,0.000172074
25,1536.87,0.27204,0.15856,0.81181,0.98851,0.98647,0.98943,0.96674,0.26047,0.15337,0.75198,0.000148512,0.000148512,0.000148512
26,1595.21,0.2713,0.15575,0.81336,0.99208,0.98718,0.98891,0.96819,0.2555,0.14667,0.75011,0.00012495,0.00012495,0.00012495
27,1654.52,0.26611,0.15137,0.80986,0.99194,0.98782,0.98946,0.96821,0.25518,0.14193,0.75042,0.000101388,0.000101388,0.000101388
28,1712.21,0.26511,0.14779,0.80919,0.99246,0.98855,0.98918,0.96913,0.25283,0.142,0.74899,7.7826e-05,7.7826e-05,7.7826e-05
29,1769.87,0.26293,0.14709,0.80826,0.99283,0.98923,0.98981,0.96937,0.25326,0.14037,0.74967,5.4264e-05,5.4264e-05,5.4264e-05
30,1827.98,0.25984,0.14183,0.80931,0.99248,0.98936,0.98985,0.97073,0.24825,0.13444,0.74753,3.0702e-05,3.0702e-05,3.0702e-05
